SEA,PDX,36352
MCO,ORD,36265
DTW,FLL,36255
DEN,PDX,36246
SFO,IAD,36013
IAH,EWR,35964
ORD,MCO,35947
TPA,CLT,35683
SFO,ATL,35675
DEN,MCI,35647
MCI,DEN,35557
OAK,LAX,35531
MIA,CLT,35464
SAN,DFW,35455
IAD,DEN,35420
MSP,DFW,35416
LAS,SLC,35367
HNL,SFO,35139
MCO,BWI,35057
LAS,OAK,34991
GEG,SEA,34977
MCO,DEN,34809
BWI,BOS,34795
CLT,TPA,34746
LAX,MSP,34735
EWR,BOS,34694
FLL,CLT,34630
ORD,SEA,34569
DFW,SNA,34560
CLT,BWI,34479
PDX,DEN,34468
IND,ATL,34375
BOS,JFK,34284
MCI,ATL,34283
MSP,LAX,34198
SNA,DFW,34179
BWI,CLT,34176
IAH,PHX,34131
BOS,BWI,33871
SFO,PHX,33857
CLT,FLL,33817
SLC,SEA,33713
ATL,MCI,33657
LAX,BOS,33566
MCO,IAH,33550
BWI,MCO,33542
FLL,DFW,33486
SNA,SFO,33386
ATL,IND,33259
SFO,HNL,33206
CLT,PHL,33175
CLT,MIA,33159
PHX,PDX,33039
DEN,IAD,33026
MCO,LGA,32991
DTW,LGA,32987
PHX,IAH,32976
OAK,LAS,32878
DEN,SNA,32762
LGA,MCO,32738
IAH,MCO,32727
ATL,STL,32723
MIA,BOS,32677
DFW,BOS,32536
LGA,DTW,32500
SEA,GEG,32495
PDX,PHX,32405
LAX,SMF,32380
FLL,ORD,32278
PHX,PHL,32253
ATL,SAT,32196
MCO,DCA,32112
PBI,LGA,32099
ATL,RIC,32092
DFW,MSP,32086
MIA,IAH,32078
MIA,EWR,32056
SMF,LAX,31985
LGA,DCA,31811
DCA,MIA,31798
BOS,DFW,31760
RIC,ATL,31696
LAS,PHL,31665
DFW,FLL,31612
OGG,LAX,31472
SNA,DEN,31439
DCA,MCO,31385
PHL,CLT,31342
EWR,ATL,31335
DEN,MCO,31317
LGA,PBI,31312
SAT,ATL,31273
MSP,SEA,31251
STL,ATL,31211
CLT,RDU,31194
HOU,ATL,31145
ATL,MDW,31116
MKE,ATL,31051
SEA,SLC,30964
ORD,FLL,30954
ATL,HOU,30931
RDU,CLT,30857
MDW,DEN,30832
BOS,MIA,30816
PHL,LAS,30805
BUR,OAK,30761
DEN,MDW,30750
SFO,SNA,30738
BOS,LAX,30716
EWR,PBI,30697
PIT,ATL,30642
ATL,EWR,30597
PBI,EWR,30594
SMF,PHX,30231
LAX,CLT,30114
DTW,CLT,30071
RSW,DTW,30024
SEA,MSP,29980
EWR,MIA,29814
CLT,LAX,29718
TPA,DFW,29652
DTW,RSW,29639
PHL,PHX,29609
LAX,PHL,29555
ATL,MKE,29550
DFW,DCA,29431
DTW,DFW,29383
MSY,IAH,29373
SAN,ATL,29306
BOS,EWR,29282
ATL,AUS,29277
DFW,DTW,29183
DTW,MSP,29154
OAK,BUR,29054
TPA,DTW,28988
MCO,LAX,28905
OAK,SEA,28895
MCO,BOS,28851
DTW,TPA,28837
PHX,ONT,28743
IAH,MSY,28672
DEN,EWR,28644
DTW,ORD,28636
SEA,ATL,28598
DCA,LGA,28542
ONT,PHX,28537
AUS,ATL,28491
PIT,CLT,28465
CLT,DTW,28437
FLL,PHL,28430
DCA,DFW,28367
BOS,MCO,28363
PHX,SJC,28363
ATL,SAN,28352
ATL,IAH,28352
LAS,PDX,28321
ORD,DTW,28307
PHL,LAX,28296
DFW,TPA,28129
SFO,PHL,28108
EWR,PHX,28069
MSP,DTW,28018
LAS,RNO,27997
LAX,DTW,27975
ATL,MEM,27921
ATL,SEA,27916
DTW,PHX,27853
SEA,OAK,27830
CLT,JFK,27790
LAX,MCO,27772
EWR,DEN,27769
PHX,SMF,27765
LAS,SJC,27725
MDW,ATL,27703
ATL,PIT,27701
PHX,OAK,27633
DFW,SLC,27611
BDL,ATL,27540
PDX,LAX,27460
IAH,MIA,27428
LAX,PDX,27367
MEM,ATL,27353
SLC,DFW,27324
DEN,OMA,27321
ORF,ATL,27193
STL,ORD,27142
RSW,ORD,27120
LAS,BUR,27096
CLT,PIT,26993
IAH,ATL,26961
ORD,STL,26870
PHL,SFO,26783
ATL,ORF,26692
RNO,LAS,26647
PDX,LAS,26603
ATL,CMH,26596
LAX,OGG,26587
DTW,DEN,26524
CMH,ATL,26502
JFK,CLT,26490
SEA,SAN,26377
SJC,LAS,26331
PHX,EWR,26320
OMA,DEN,26310
ATL,SDF,26222
PHL,FLL,26109
FLL,BOS,26104
ATL,BNA,26086
ORD,SAN,25968
SDF,ATL,25967
PHX,DTW,25886
DEN,DTW,25842
SAN,LAX,25810
HNL,SEA,25802
OAK,PHX,25794
ATL,BDL,25769
HNL,LAS,25733
SFO,CLT,25719
SAN,SEA,25641
SJC,PHX,25639
MDW,MSP,25594
EWR,DFW,25480
BNA,ATL,25465
DEN,CLT,25440
LAS,HNL,25428
CLT,SFO,25417
SAN,ORD,25404
DTW,PHL,25392
DEN,STL,25367
ORD,RSW,25343
BUR,LAS,25336
DTW,LAX,25336
ABQ,PHX,25270
PHX,ABQ,25255
MSP,MDW,25237
MDW,LAS,25217
DFW,EWR,25124
BOS,FLL,25113
MIA,PHL,25110
PHL,DTW,25080
DFW,TUS,24977
IAH,SEA,24906
SEA,IAH,24895
LAS,SMF,24874
OAK,SAN,24820
SMF,LAS,24762
SAN,OAK,24748
CLT,DEN,24604
SAN,SJC,24600
STL,DFW,24586
BNA,DFW,24468
DFW,BNA,24432
DEN,AUS,24413
BOS,RSW,24378
STL,DEN,24344
MCO,MDW,24339
SEA,HNL,24164
DAL,AUS,24160
DFW,OKC,24122
LAX,SAN,24100
RSW,CLT,24076
SEA,SJC,24057
MSP,RSW,24055
DAL,SAT,24049
CLT,DCA,23988
DFW,MSY,23952
FLL,DCA,23905
CLE,ORD,23855
MSY,DFW,23790
DFW,STL,23784
IAH,LGA,23759
SAN,SMF,23704
SJC,SEA,23697
LAS,SNA,23634
SAT,DAL,23628
MSY,HOU,23557
JFK,PHX,23556
LAS,MDW,23546
MCI,DFW,23535
SNA,SJC,23495
JFK,TPA,23414
AUS,DEN,23385
DFW,MCI,23370
LGA,IAH,23362
DCA,CLT,23317
TPA,JFK,23317
CLT,RSW,23295
LAS,CLT,23279
SNA,OAK,23180
LGA,MSP,23175
MDW,MCO,23170
SJC,SNA,23153
EWR,TPA,23122
LGA,BOS,23117
CHS,ATL,23107
TPA,ORD,23056
PHL,MIA,23040
MIA,TPA,23000
MSP,LGA,22987
BUR,PHX,22951
CLT,JAX,22889
ATL,BHM,22879
FLL,DEN,22879
SMF,SAN,22854
AUS,DAL,22842
SJC,SAN,22726
RSW,MSP,22684
JFK,SLC,22672
JAX,CLT,22631
RSW,BOS,22613
ATL,CHS,22571
PHX,BUR,22547
FLL,LAX,22543
SLC,JFK,22462
PHL,DEN,22446
BOS,DEN,22443
ABQ,DFW,22388
TUS,DFW,22371
DEN,PHL,22370
SRQ,ATL,22315
ORD,CLE,22283
BWI,TPA,22281
SNA,LAS,22256
OAK,SNA,22200
IAD,ATL,22181
HOU,MSY,22174
ATL,SRQ,22149
TPA,BWI,22120
BHM,ATL,22053
IAH,SAN,22051
DEN,BOS,22041
DAY,ATL,22023
MDW,PHX,21974
TPA,EWR,21963
DEN,SMF,21932
SAT,IAH,21929
LAX,FLL,21895
DEN,FLL,21866
ATL,SAV,21765
CLT,LAS,21740
MSP,CLT,21737
LAS,BWI,21687
BWI,LAS,21660
BOS,LGA,21567
DFW,ABQ,21564
DCA,FLL,21543
ORD,TPA,21533
SAV,ATL,21533
ATL,IAD,21509
TPA,PHL,21505
OKC,DFW,21464
SMF,DEN,21333
CLT,MSP,21308
DFW,ELP,21228
PHX,JFK,21129
SEA,SNA,21057
BWI,DFW,21043
TPA,MIA,21039
IAH,AUS,20948
AUS,IAH,20946
PBI,CLT,20908
CLT,BNA,20903
TUL,DFW,20777
IAH,SAT,20749
ELP,DFW,20738
PDX,ORD,20669
CVG,ATL,20600
SNA,SEA,20576
MSP,SFO,20563
DFW,TUL,20555
DFW,BWI,20519
ATL,CVG,20506
PVD,BWI,20432
SMF,SEA,20394
ATL,DAY,20365
ATL,PNS,20317
PHL,TPA,20308
MSP,SLC,20280
FLL,IAH,20270
BNA,CLT,20267
BWI,DTW,20079
PHX,MCO,20008
MSP,PHL,19934
MKE,MSP,19909
DEN,OKC,19897
SEA,EWR,19878
MSP,MKE,19852
PDX,ATL,19844
MCO,PHX,19834
DFW,PDX,19694
SEA,SMF,19620
CLT,PBI,19579
PHX,MDW,19577
DEN,MSY,19546
MSP,DCA,19505
FLL,TPA,19356
ORD,PDX,19345
MSY,DEN,19327
PNS,ATL,19296
ATL,PDX,19287
DTW,BWI,19273
SFO,MSP,19181
CLT,MSY,19147
PDX,SJC,19089
MSP,TPA,19084
MSY,CLT,19069
DEN,BNA,19059
BNA,DEN,19037
OKC,DEN,18993
IAH,FLL,18980
ONT,OAK,18952
TPA,DCA,18886
SJC,PDX,18770
AUS,PHX,18737
SLC,MSP,18705
DTW,IAH,18696
PHL,MSP,18685
CLT,IAD,18665
BWI,DEN,18649
ORD,MCI,18646
TPA,MSP,18643
CLT,RIC,18625
BOS,MSP,18582
PVD,MCO,18556
HNL,PHX,18540
MCI,DAL,18522
BDL,CLT,18515
DEN,MKE,18513
PHX,AUS,18493
DAL,MCI,18492
MKE,DEN,18486
PHX,HNL,18413
PDX,DFW,18409
ORD,IND,18384
SEA,JFK,18362
ATL,JFK,18357
MCI,PHX,18334
TPA,IAH,18290
IND,ORD,18270
RIC,CLT,18174
OGG,SEA,18157
ELP,PHX,18136
SNA,ORD,18129
PIT,ORD,18109
LAS,EWR,18096
IAH,DCA,18072
CLT,CLE,18048
SAN,IAH,18025
LGA,TPA,18001
CLE,CLT,17982
DCA,TPA,17934
DCA,IAH,17927
DTW,DCA,17909
SNA,SMF,17898
SLC,DTW,17884
TPA,FLL,17883
DCA,MSP,17873
IAH,PHL,17868
STL,DAL,17858
EWR,LAS,17835
JFK,ATL,17834
SLC,PDX,17819
DTW,BOS,17798
MCO,PVD,17794
DFW,SJC,17760
MHT,BWI,17740
IAD,CLT,17725
JFK,SEA,17721
SMF,SNA,17710
TPA,LGA,17669
CAK,ATL,17666
MCO,IAD,17655
TPA,DEN,17635
OAK,ONT,17632
ANC,FAI,17600
LAS,MIA,17543
