9999,4,0
9998,5,0
9996,7,0
9993,10,0
9989,13,1
9983,18,2
9975,24,4
9964,33,6
9948,46,9
9926,63,14
9895,87,21
9852,121,30
9793,167,43
9712,230,61
9601,316,86
9450,432,121
9246,588,169
8975,794,234
8619,1062,322
8162,1401,440
7591,1816,596
6902,2302,799
6108,2839,1056
5242,3388,1373
4355,3896,1752
3507,4308,2188
2752,4581,2670
2122,4698,3183
1624,4670,3709
1245,4526,4232
964,4301,4738
757,4027,5219
605,3728,5670
493,3423,6087
409,3124,6470
346,2838,6819
297,2570,7136
259,2321,7423
229,2092,7682
206,1881,7916
187,1690,8126
172,1516,8315
159,1360,8484
149,1218,8636
140,1091,8772
133,976,8894
127,873,9003
122,781,9100
118,698,9187
114,624,9265
111,558,9334
108,499,9396
106,446,9451
104,399,9500
102,357,9544
101,319,9583
100,285,9618
99,255,9649
98,228,9677
97,204,9702
97,182,9724
97,162,9744
97,144,9762
97,128,9778
97,114,9792
97,102,9804
97,91,9815
97,81,9825
97,72,9834
97,64,9842
97,57,9849
97,51,9855
97,46,9860
97,41,9865
97,37,9869
97,33,9873
97,30,9876
97,27,9879
97,24,9882
97,22,9884
97,20,9886
97,18,9888
97,16,9890
97,15,9891
97,14,9892
97,13,9893
97,12,9894
97,11,9895
97,10,9896
97,9,9897
97,8,9898
97,8,9898
97,8,9898
97,8,9898
97,8,9898
97,8,9898
97,8,9898
97,8,9898
97,8,9898
