S,I,R 
1515,74,0 
1450,139,0 
1368,221,0 
1271,318,0 
1166,371,52 
1058,339,192 
967,339,283 
895,311,383 
832,268,489 
783,223,583 
737,190,662 
709,149,731 
680,124,785 
659,96,834 
644,79,866 
631,59,899 
618,50,921 
613,38,938 
608,28,953 
605,17,967 
603,13,973 
