S,I,R 
23,7,0 
16,14,0 
7,23,0 
5,25,0 
3,21,6 
2,7,21 
2,4,24 
2,1,27 
2,0,28 
2,0,28 
2,0,28 
2,0,28 
2,0,28 
2,0,28 
2,0,28 
2,0,28 
2,0,28 
2,0,28 
2,0,28 
2,0,28 
2,0,28 
