S,I,R,V 
1804,95,0,0 
1720,179,0,0 
671,254,0,974 
617,308,0,974 
575,350,0,974 
534,296,95,974 
502,244,179,974 
493,178,254,974 
487,130,308,974 
485,90,350,974 
479,55,391,974 
475,27,423,974 
474,19,432,974 
474,13,438,974 
473,12,440,974 
473,6,446,974 
473,2,450,974 
473,1,451,974 
473,1,451,974 
473,0,452,974 
473,0,452,974 
