S,I,R,V 
1802,97,0,0 
1701,198,0,0 
996,411,0,492 
583,481,0,835 
369,518,0,1012 
299,442,97,1061 
273,356,198,1072 
267,147,410,1075 
265,78,481,1075 
263,43,518,1075 
261,24,539,1075 
261,9,554,1075 
261,6,557,1075 
261,4,559,1075 
261,2,561,1075 
261,0,563,1075 
261,0,563,1075 
261,0,563,1075 
261,0,563,1075 
261,0,563,1075 
261,0,563,1075 
