orig,dest,num
"LHR","JFK","1073683"
"JFK","LHR","1056279"
"LAX","LHR","555858"
"HNL","NRT","549355"
"NRT","HNL","543060"
"LHR","LAX","535019"
"JFK","CDG","527152"
"CDG","JFK","525363"
"LHR","ORD","437530"
"LGA","YYZ","434647"
"ORD","LHR","429408"
"LHR","EWR","423773"
"EWR","LHR","423327"
"YYZ","LGA","415228"
"MIA","GRU","395091"
"GRU","MIA","381851"
"MIA","LHR","375854"
"LAX","ICN","370967"
"ICN","LAX","367713"
"NRT","LAX","366946"
"GUM","NRT","360858"
"LHR","SFO","357275"
"NRT","GUM","355790"
"LAX","NRT","353287"
"TPE","LAX","351870"
"SFO","LHR","351417"
"LHR","MIA","343256"
"LHR","BOS","340636"
"LAX","YVR","338609"
"LAX","TPE","334382"
"STI","JFK","332550"
"SYD","LAX","330896"
"IAD","LHR","328579"
"BOS","LHR","327547"
"LHR","IAD","324229"
"YVR","LAX","323982"
"LAX","SYD","319011"
"SDQ","JFK","306020"
"GDL","LAX","296783"
"JFK","STI","295146"
"LAX","GDL","288056"
"MIA","EZE","287596"
"MEX","LAX","287461"
"CUN","ATL","284049"
"LAX","MEX","283298"
"EZE","MIA","280638"
"JFK","SDQ","279694"
"NRT","ORD","276845"
"ATL","CUN","276265"
"FRA","JFK","274009"
"HKG","SFO","273375"
"GRU","JFK","271094"
"TPE","SFO","271023"
"MIA","PTY","269611"
"JFK","FRA","266107"
"JFK","GRU","265858"
"PTY","MIA","262220"
"FRA","ORD","260823"
"ORD","FRA","259964"
"SFO","TPE","259633"
"SFO","HKG","259262"
"MAD","JFK","258906"
"DFW","CUN","258526"
"LGW","MCO","257157"
"CUN","DFW","256848"
"MIA","LIM","256841"
"ATL","CDG","256748"
"LIM","MIA","256678"
"IAH","MEX","256309"
"FRA","SFO","253841"
"JFK","MAD","253696"
"CDG","ATL","252194"
"MCO","LGW","252174"
"NRT","JFK","252013"
"MEX","IAH","252009"
"TLV","JFK","251522"
"SFO","FRA","250034"
"DFW","LHR","249812"
"AMS","JFK","249805"
"JFK","TLV","247768"
"MIA","CCS","246599"
"LAX","YYZ","246438"
"CCS","MIA","245963"
"LHR","DFW","244361"
"MIA","MEX","242848"
"CUN","IAH","242207"
"ORD","NRT","241322"
"ICN","SFO","239881"
"AMS","DTW","238855"
"JFK","AMS","238054"
"MEX","MIA","237068"
"YYZ","LAX","236159"
"SFO","ICN","234538"
"IAH","CUN","234137"
"IAD","FRA","232974"
"MIA","BOG","232911"
"JFK","NRT","232811"
"BOG","MIA","232439"
"FCO","JFK","229618"
"DTW","AMS","228714"
"DXB","JFK","228627"
"IAH","LHR","228559"
"MCO","YYZ","228243"
"YVR","SFO","226255"
"ATL","AMS","226007"
"AMS","ATL","225170"
"YYZ","MCO","225108"
"JFK","FCO","223653"
"FRA","IAD","223133"
"ORD","YYZ","222832"
"SFO","YVR","222095"
"YYZ","ORD","221465"
"NRT","SFO","218894"
"IST","JFK","218532"
"JFK","IST","217789"
"MXP","JFK","216388"
"JFK","MXP","216249"
"LHR","IAH","215423"
"ATL","LHR","212312"
"SFO","NRT","210674"
"MEX","JFK","210115"
"ICN","JFK","208644"
"HNL","KIX","207428"
"KIX","HNL","206365"
"JFK","DUB","204850"
"JFK","MEX","203824"
"DUB","JFK","203741"
"JFK","ICN","202789"
"JFK","DXB","202303"
"YYZ","LAS","199870"
"LAS","YYZ","199636"
"HKG","JFK","199447"
"JFK","CUN","197822"
"LHR","ATL","197775"
"CUN","JFK","197418"
"SVO","JFK","196675"
"HND","HNL","196492"
"CUN","MIA","195811"
"JFK","HKG","194157"
"HNL","HND","193271"
"PVG","LAX","192639"
"HKG","LAX","191804"
"ICN","HNL","190850"
"JFK","SVO","190655"
"LAX","PVG","190140"
"MIA","CUN","189921"
"YVR","SEA","188289"
"LAX","HKG","187965"
"FLL","YYZ","187793"
"CDG","LAX","187469"
"SEA","YVR","186935"
"HNL","ICN","186810"
"LAX","CDG","185347"
"YYZ","FLL","183771"
"TLV","EWR","183219"
"SDQ","MIA","182266"
"MIA","YYZ","182208"
"SFO","CDG","181791"
"CDG","SFO","181725"
"EWR","TLV","177364"
"MIA","SDQ","177177"
"YYZ","MIA","176512"
"AMS","MSP","173463"
"ATL","YYZ","173038"
"DFW","MEX","172678"
"MIA","MAD","171908"
"MEX","DFW","171306"
"YYZ","ATL","170243"
"IAD","CDG","169986"
"CDG","IAD","169934"
"MEX","ATL","169689"
"MIA","SCL","169625"
"MEX","ORD","169230"
"MSP","AMS","168866"
"MIA","HAV","167171"
"MAN","MCO","167022"
"SCL","MIA","166844"
"SJD","LAX","166058"
"AKL","LAX","166030"
"IAH","YYC","165843"
"MAD","MIA","165632"
"MCO","MAN","165141"
"FLL","YUL","164866"
"LAX","SJD","162919"
"MBJ","ATL","162011"
"SFO","YYZ","161981"
"HAV","MIA","161785"
"CUN","ORD","161452"
"FRA","IAH","160888"
"PEK","SFO","160239"
"ATL","MEX","160045"
"YYZ","SFO","159806"
"ORD","MEX","159331"
"YUL","FLL","158821"
"LAX","AKL","158659"
"IAH","FRA","158602"
"ORD","CUN","155335"
"YYC","IAH","155065"
"ATL","MBJ","155030"
"PAP","MIA","152706"
"SFO","PEK","152492"
"MEL","LAX","150931"
"PAP","FLL","150236"
"YYC","LAS","146967"
"MIA","PAP","146838"
"NAS","MIA","146686"
"PVG","SFO","146475"
"HNL","SYD","146365"
"LAX","MEL","146303"
"MIA","CDG","146119"
"LAX","FRA","144827"
"NAS","ATL","144443"
"LAS","YYC","143825"
"MIA","NAS","143420"
"LAX","PEK","143245"
"UIO","MIA","142244"
"SYD","HNL","141506"
"FRA","LAX","141300"
"FRA","EWR","141276"
"CDG","MIA","140619"
"PHL","LHR","140318"
"GUM","KIX","140261"
"FLL","PAP","139845"
"PEK","LAX","139820"
"ATL","NAS","139404"
"EWR","FRA","139145"
"CUN","CLT","138873"
"PUJ","ATL","138608"
"LHR","PHL","138602"
"KIX","GUM","138215"
"SFO","PVG","137851"
"MIA","UIO","136926"
"ATL","PUJ","135600"
"CDG","BOS","135466"
"MIA","SJO","134927"
"PEK","ORD","134763"
"BOM","EWR","134259"
"CLT","CUN","133398"
"PEK","JFK","132708"
"MBJ","JFK","132636"
"NAS","FLL","132492"
"PVG","ORD","131570"
"EWR","CDG","131450"
"PUJ","MIA","131370"
"BOS","CDG","131151"
"MIA","PUJ","130847"
"MGA","MIA","130225"
"MIA","GIG","129751"
"CDG","EWR","129241"
"PTY","MCO","129204"
"EWR","YTZ","128809"
"GUM","ICN","128381"
"SJO","MIA","128380"
"FLL","NAS","128307"
"CDG","ORD","128264"
"ICN","GUM","127776"
"YVR","ORD","127349"
"LHR","SEA","127191"
"GIG","MIA","126627"
"IAH","AMS","126574"
"JFK","MBJ","126036"
"YTZ","EWR","125873"
"MEX","LAS","125809"
"MIA","FRA","125593"
"ORD","CDG","125570"
"MCO","PTY","125505"
"ORD","PEK","125452"
"AMS","IAH","125269"
"LAS","MEX","124839"
"ICN","SEA","124828"
"MUC","EWR","124258"
"JFK","PEK","124179"
"ORD","YVR","123954"
"MIA","MGA","123892"
"GCM","MIA","122821"
"EWR","MUC","122387"
"SEA","LHR","121564"
"EWR","BOM","121516"
"MUC","ORD","121440"
"CAN","LAX","120999"
"JFK","PUJ","120708"
"LGW","LAS","120615"
"DXB","IAD","120541"
"CUN","LAX","120445"
"PUJ","JFK","119782"
"MNL","LAX","119190"
"NRT","DFW","119188"
"BNE","LAX","118878"
"LAX","BNE","118583"
"ORD","MUC","118269"
"EZE","JFK","118203"
"ORD","PVG","118189"
"SAL","LAX","118036"
"POS","JFK","117981"
"LAX","CUN","117605"
"MIA","GCM","117304"
"AUH","JFK","117291"
"SJO","IAH","116998"
"HKG","ORD","116908"
"FRA","BOS","116467"
"SEA","ICN","116153"
"LAX","CAN","116138"
"FRA","PHL","116098"
"FRA","MIA","115946"
"ZRH","JFK","115879"
"CDG","DTW","115868"
"MBJ","CLT","115552"
"JFK","ZRH","114859"
"IAH","SJO","114774"
"JFK","POS","114473"
"CUN","PHL","114356"
"PHX","YYC","114138"
"FRA","DTW","113960"
"BOS","FRA","113799"
"DTW","CDG","113371"
"SJD","PHX","113202"
"PAP","JFK","113039"
"YYC","PHX","112941"
"GYE","JFK","112804"
"JFK","GYE","112754"
"LAS","LGW","112606"
"LAX","SAL","112477"
"MEX","SFO","112310"
"PHL","FRA","112162"
"MCO","GRU","111444"
"NGO","HNL","111363"
"SJD","DFW","111168"
"JFK","YYZ","111020"
"KIN","MIA","111010"
"SFO","MEX","110743"
"YYC","LAX","110723"
"SPN","ICN","110633"
"HNL","NGO","110511"
"GRU","MCO","110504"
"DUB","ORD","110385"
"YVR","LAS","110287"
"IAD","DXB","110212"
"LAX","YYC","110195"
"DFW","SJD","109683"
"SAT","MEX","109591"
"POS","MIA","109264"
"DTW","FRA","109022"
"ICN","SPN","109006"
"ORD","DUB","108955"
"LAX","MNL","108917"
"BOG","FLL","108864"
"CLT","MBJ","108648"
"MIA","POS","108394"
"NRT","SEA","108348"
"PHL","CUN","108123"
"FRA","ATL","107952"
"DEN","CUN","107937"
"PTY","LAX","107847"
"LAS","YVR","107323"
"CUN","EWR","107264"
"CUN","DEN","107255"
"MEX","SAT","107020"
"ORD","HKG","106058"
"BCN","JFK","105669"
"EWR","CUN","105592"
"FLL","BOG","105578"
"DFW","NRT","105316"
"PTY","JFK","105313"
"ATL","FRA","105267"
"MIA","KIN","105176"
"JFK","BCN","104971"
"LAX","PTY","104710"
"PHX","SJD","104514"
"DXB","LAX","104301"
"PUJ","CLT","104277"
"NRT","IAD","103416"
"FRA","DFW","103356"
"JFK","PAP","102986"
"SEA","NRT","102627"
"KIN","JFK","102254"
"AUA","JFK","101971"
"AMS","LAX","101950"
"ICN","ORD","101733"
"MIA","YUL","101696"
"MTY","IAH","101467"
"EWR","HKG","101451"
"JFK","PTY","101394"
"YYZ","JFK","101319"
"ORD","YUL","100930"
"IAH","YYZ","100903"
"BRU","JFK","100848"
"DFW","FRA","100760"
"HKG","EWR","100521"
"EWR","YYZ","100473"
"CLT","PUJ","100420"
"BRU","EWR","99942"
"JFK","EZE","99840"
"IAH","MTY","99728"
"JFK","AUA","99664"
"AMS","SEA","99453"
"DUB","BOS","99373"
"ICN","DFW","99229"
"LAX","AMS","99225"
"AMS","IAD","99103"
"NRT","IAH","98954"
"BOS","DUB","98845"
"KIN","FLL","98723"
"MIA","GUA","98574"
"GUA","MIA","98182"
"GYE","MIA","98078"
"YYZ","IAH","97675"
"SJO","FLL","97524"
"IAD","NRT","97266"
"IAD","AMS","97093"
"EWR","BRU","97047"
"AMS","ORD","96924"
"YUL","MIA","96820"
"GIG","JFK","96795"
"YYZ","EWR","96688"
"SEA","AMS","96350"
"MIA","CUR","96324"
"CUR","MIA","96239"
"JFK","AUH","96138"
"MNL","SFO","96040"
"AMS","BOS","96001"
"LAX","HND","95994"
"HND","LAX","95883"
"SDQ","SJU","95753"
"YUL","ORD","95598"
"MBJ","MIA","95305"
"FLL","SJO","95122"
"LAX","DXB","94600"
"YYZ","TPA","94536"
"LAX","PVR","94426"
"PVR","LAX","94382"
"BOS","AMS","94253"
"JFK","KIN","93806"
"ORD","ICN","93750"
"JFK","GIG","93713"
"EWR","ZRH","93535"
"ARN","EWR","93390"
"IAD","MUC","93232"
"JFK","BRU","92924"
"MIA","MBJ","92741"
"YYC","ORD","92599"
"MUC","IAD","92486"
"ZRH","EWR","92351"
"SJU","SDQ","92168"
"TPA","YYZ","92033"
"LGA","YUL","91776"
"MTY","DFW","91569"
"ORD","AMS","91441"
"EWR","ARN","91407"
"FLL","KIN","91321"
"SXM","JFK","91265"
"ICN","DTW","91250"
"DFW","MTY","91243"
"LIM","LAX","90828"
"DFW","ICN","90663"
"MIA","GYE","90416"
"GUA","IAH","90245"
"GRU","ATL","90071"
"DTW","YYZ","89725"
"HNL","YVR","89305"
"OSL","EWR","89024"
"AMS","SFO","88905"
"YYZ","DTW","88793"
"PPT","LAX","88774"
"GUM","NGO","88736"
"ATL","GRU","88556"
"SAL","IAD","88333"
"DOH","IAD","88220"
"IAH","NRT","87924"
"ORD","YYC","87886"
"EWR","OSL","87838"
"JFK","SXM","87820"
"IAH","GUA","87734"
"CPH","EWR","87705"
"JFK","NAS","87610"
"NGO","GUM","87326"
"PHX","YVR","87277"
"SJO","ATL","87206"
"SAL","IAH","86747"
"DEN","YYC","86666"
"EWR","CPH","86630"
"ATL","SJO","86487"
"SJD","SFO","86402"
"PUJ","PHL","86256"
"NAS","JFK","86236"
"YVR","HNL","86034"
"CUN","MSP","85938"
"AMS","EWR","85885"
"LAX","PPT","85557"
"JFK","KEF","85361"
"DOH","JFK","85360"
"EWR","AMS","85300"
"AKL","SFO","85294"
"NRT","ATL","85227"
"KEF","JFK","85127"
"SFO","AMS","84997"
"YVR","PHX","84805"
"LAX","LIM","84787"
"IAD","BRU","84615"
"BGI","MIA","84571"
"IAH","SAL","84456"
