"PASSENGERS","ORIGIN","DEST",
0.00,"LUX","DFW",
0.00,"LUX","LAX",
0.00,"LUX","ORD",
0.00,"MXP","JFK",
0.00,"MXP","LAX",
0.00,"MXP","ORD",
0.00,"ORD","LUX",
0.00,"ANC","ICN",
0.00,"ATL","ICN",
0.00,"DFW","GDL",
0.00,"DFW","ICN",
0.00,"DFW","ICN",
0.00,"ICN","ANC",
0.00,"ICN","ATL",
0.00,"ICN","DFW",
0.00,"ICN","DFW",
0.00,"ICN","JFK",
0.00,"ICN","JFK",
0.00,"ICN","LAX",
0.00,"ICN","LAX",
0.00,"ICN","MIA",
0.00,"ICN","MIA",
0.00,"ICN","ORD",
0.00,"ICN","ORD",
0.00,"ICN","SEA",
0.00,"ICN","SFO",
0.00,"ICN","SFO",
0.00,"JFK","ICN",
0.00,"JFK","ICN",
0.00,"LAX","ICN",
0.00,"LAX","ICN",
0.00,"LAX","NRT",
0.00,"LIM","LAX",
0.00,"LIM","MIA",
0.00,"MIA","ICN",
0.00,"MIA","ICN",
0.00,"MIA","LIM",
0.00,"MIA","VCP",
0.00,"ORD","ICN",
0.00,"ORD","ICN",
0.00,"PVG","ATL",
0.00,"PVG","JFK",
0.00,"SEA","ICN",
0.00,"SFO","ICN",
0.00,"SFO","ICN",
0.00,"JFK","AKL",
0.00,"JFK","SYD",
0.00,"LAX","SYD",
0.00,"ORD","AKL",
0.00,"ORD","SYD",
0.00,"PVG","JFK",
0.00,"PVG","ORD",
0.00,"ORD","AMS",
0.00,"SVO","ORD",
0.00,"BDL","TLS",
0.00,"IAH","ICN",
0.00,"IAH","PUS",
0.00,"IAH","XCR",
0.00,"IAH","YYT",
0.00,"JED","MDT",
0.00,"MIA","BSB",
0.00,"PSM","JED",
0.00,"TAR","PAE",
0.00,"TRN","WAL",
0.00,"TUL","TLV",
0.00,"ATL","LUX",
0.00,"DFW","LUX",
0.00,"HKG","DFW",
0.00,"HKG","JFK",
0.00,"HKG","LAX",
0.00,"HKG","LCK",
0.00,"HKG","ORD",
0.00,"IAH","ACC",
0.00,"IAH","LOS",
0.00,"IAH","LUX",
0.00,"IAH","NBO",
0.00,"IND","LUX",
0.00,"JFK","ACC",
0.00,"JFK","LOS",
0.00,"JFK","LUX",
0.00,"JFK","MEX",
0.00,"JFK","MXP",
0.00,"LAX","LUX",
0.00,"LAX","MXP",
0.00,"LAX","PIK",
0.00,"LUX","ATL",
0.00,"LUX","DFW",
0.00,"LUX","DTW",
0.00,"LUX","HSV",
0.00,"LUX","IAH",
0.00,"LUX","IND",
0.00,"LUX","JFK",
0.00,"LUX","LAX",
0.00,"LUX","MIA",
0.00,"LUX","ORD",
0.00,"LUX","SEA",
0.00,"MIA","LUX",
0.00,"ORD","LUX",
0.00,"ORD","MXP",
0.00,"PIK","SEA",
0.00,"SEA","LUX",
0.00,"SEA","PIK",
0.00,"JFK","KEF",
0.00,"KEF","JFK",
0.00,"ATL","DOH",
0.00,"DOH","ATL",
0.00,"DOH","ORD",
0.00,"ORD","DOH",
0.00,"JFK","LGG",
0.00,"LGG","JFK",
0.00,"YYT","JFK",
