"PASSENGERS","ORIGIN","DEST",
0.00,"MIA","VCP",
0.00,"MIA","VLN",
0.00,"MIA","VVI",
0.00,"PTY","MIA",
0.00,"SJO","MIA",
0.00,"UIO","MIA",
0.00,"BTV","YUL",
0.00,"BUF","YYZ",
0.00,"EWN","YYZ",
0.00,"GSO","YOW",
0.00,"MKE","YUL",
0.00,"YHZ","BWI",
0.00,"JFK","SYD",
0.00,"LAX","SYD",
0.00,"ORD","AKL",
0.00,"ORD","SYD",
0.00,"PVG","JFK",
0.00,"PVG","ORD",
0.00,"AZA","KMC",
0.00,"DEN","MRS",
0.00,"IAH","CUN",
0.00,"IAH","LAD",
0.00,"MCI","BSR",
0.00,"PHL","BZZ",
0.00,"SVO","HSV",
0.00,"XWD","TIX",
0.00,"JFK","SYD",
0.00,"LAX","SYD",
0.00,"ORD","AKL",
0.00,"ORD","SYD",
0.00,"PVG","JFK",
0.00,"PVG","ORD",
0.00,"ANC","ICN",
0.00,"ATL","ICN",
0.00,"ATL","ICN",
0.00,"DFW","ICN",
0.00,"DFW","ICN",
0.00,"ICN","ANC",
0.00,"ICN","ATL",
0.00,"ICN","ATL",
0.00,"ICN","DFW",
0.00,"ICN","DFW",
0.00,"ICN","JFK",
0.00,"ICN","LAX",
0.00,"ICN","MIA",
0.00,"ICN","MIA",
0.00,"ICN","ORD",
0.00,"ICN","ORD",
0.00,"ICN","SEA",
0.00,"ICN","SFO",
0.00,"JFK","ICN",
0.00,"JFK","ICN",
0.00,"LAX","ICN",
0.00,"LAX","ICN",
0.00,"LAX","NRT",
0.00,"LIM","LAX",
0.00,"LIM","MIA",
0.00,"MIA","ICN",
0.00,"MIA","ICN",
0.00,"MIA","VCP",
0.00,"ORD","ICN",
0.00,"ORD","ICN",
0.00,"PVG","ATL",
0.00,"PVG","JFK",
0.00,"PVG","LAX",
0.00,"SEA","ICN",
0.00,"SFO","ICN",
0.00,"BUF","YOW",
0.00,"CLE","YYZ",
0.00,"GFK","YWG",
0.00,"GTF","YYC",
0.00,"IND","YMX",
0.00,"IND","YYZ",
0.00,"MEM","YEG",
0.00,"MEM","YMX",
0.00,"MEM","YVR",
0.00,"MEM","YWG",
0.00,"MEM","YXY",
0.00,"MEM","YYC",
0.00,"MEM","YYZ",
0.00,"YEG","MEM",
0.00,"YMX","IND",
0.00,"YMX","MEM",
0.00,"YOW","BUF",
0.00,"YVR","GEG",
0.00,"YVR","MEM",
0.00,"YWG","GFK",
0.00,"YWG","LCK",
0.00,"YWG","MEM",
0.00,"YXY","ANC",
0.00,"YYC","GTF",
0.00,"YYC","MEM",
0.00,"YYZ","IND",
0.00,"YYZ","MEM",
0.00,"BOG","MEM",
0.00,"BQN","AUA",
0.00,"BQN","BGI",
0.00,"BQN","CUR",
0.00,"BQN","POS",
0.00,"BQN","SDQ",
0.00,"BQN","SLU",
0.00,"GDL","MEM",
0.00,"GDL","MIA",
0.00,"MEM","BOG",
0.00,"MEM","GDL",
0.00,"MEM","MTY",
0.00,"MEM","PTY",
0.00,"MEM","TLC",
0.00,"MEM","VCP",
0.00,"MIA","KIN",
0.00,"MIA","MID",
0.00,"MTY","MEM",
0.00,"MTY","ORD",
0.00,"PTY","MEM",
0.00,"QRO","MEM",
0.00,"SJU","ANU",
0.00,"SJU","EIS",
0.00,"SJU","PTP",
0.00,"SJU","SKB",
0.00,"SJU","SXM",
0.00,"TLC","BOS",
0.00,"TLC","LAS",
0.00,"TLC","MEM",
0.00,"VCP","MEM",
0.00,"CDG","EWR",
0.00,"CDG","MEM",
0.00,"CGN","MEM",
0.00,"FRA","MEM",
0.00,"IND","CDG",
0.00,"IND","STN",
0.00,"MEM","CDG",
0.00,"MEM","CGN",
0.00,"MEM","DXB",
0.00,"MEM","GDL",
0.00,"MEM","MXP",
0.00,"MEM","STN",
0.00,"MXP","MEM",
0.00,"OAK","FRA",
0.00,"STN","IND",
0.00,"STN","MEM",
0.00,"ANC","CAN",
0.00,"ANC","HKG",
0.00,"ANC","ICN",
0.00,"ANC","KIX",
0.00,"ANC","NRT",
0.00,"ANC","PEK",
0.00,"ANC","PVG",
0.00,"ANC","SIN",
0.00,"ANC","TPE",
0.00,"GUM","NRT",
0.00,"GUM","PVG",
0.00,"HKG","ANC",
0.00,"HKG","MEM",
0.00,"HNL","AKL",
0.00,"HNL","SYD",
0.00,"ICN","ANC",
0.00,"IND","TPE",
0.00,"KIX","ANC",
0.00,"KIX","IND",
0.00,"KIX","MEM",
0.00,"KIX","OAK",
0.00,"MEM","CAN",
0.00,"MEM","ICN",
0.00,"MEM","KIX",
0.00,"MEM","NRT",
0.00,"MEM","PEK",
0.00,"MEM","PVG",
0.00,"MEM","SIN",
0.00,"MEM","SYD",
0.00,"MIA","NRT",
0.00,"NRT","ANC",
0.00,"NRT","MEM",
0.00,"OAK","NRT",
0.00,"PVG","ANC",
0.00,"PVG","MEM",
0.00,"SIN","MEM",
0.00,"SWF","PVG",
0.00,"SYD","MEM",
0.00,"TPE","ANC",
0.00,"JQF","SFJ",
0.00,"LAR","SJD",
0.00,"LAX","SJD",
0.00,"PHL","YYZ",
0.00,"SFJ","GSO",
0.00,"YQX","PSM",
0.00,"YYZ","TOL",
0.00,"BGI","MIA",
0.00,"BLA","MIA",
0.00,"BLA","SJU",
0.00,"CUR","MIA",
0.00,"KIN","MIA",
0.00,"LIM","MIA",
0.00,"MAR","MIA",
0.00,"MEX","MIA",
0.00,"MGA","MIA",
0.00,"MIA","ANU",
0.00,"MIA","AUA",
0.00,"MIA","BGI",
0.00,"MIA","BLA",
0.00,"MIA","BZE",
0.00,"MIA","KIN",
0.00,"MIA","LSP",
0.00,"MIA","MAR",
0.00,"MIA","MEX",
0.00,"MIA","MGA",
0.00,"MIA","PAP",
0.00,"MIA","POS",
0.00,"MIA","PTY",
0.00,"MIA","SAL",
0.00,"MIA","SAP",
0.00,"MIA","SDQ",
0.00,"MIA","STI",
0.00,"MIA","SXM",
0.00,"MID","MIA",
0.00,"PAP","MIA",
0.00,"PBM","MIA",
0.00,"POS","MIA",
0.00,"PTY","MIA",
0.00,"SAL","MIA",
0.00,"SAP","MIA",
0.00,"SDQ","MIA",
0.00,"SKB","MIA",
0.00,"STI","MIA",
0.00,"ANC","HKG",
0.00,"ANC","ICN",
0.00,"ANC","NRT",
0.00,"ANC","PVG",
0.00,"CVG","ICN",
0.00,"CVG","LEJ",
0.00,"CVG","NRT",
0.00,"HKG","ANC",
0.00,"ICN","ANC",
0.00,"LAX","ICN",
0.00,"LAX","PVG",
0.00,"NGO","CVG",
0.00,"NGO","IND",
0.00,"NRT","ANC",
0.00,"ORD","ICN",
0.00,"PVG","ANC",
0.00,"MIA","PBM",
0.00,"PBM","MIA",
0.00,"DRT","YHM",
0.00,"DRT","YXU",
0.00,"MTY","ROA",
0.00,"STL","SLW",
0.00,"BJX","LRD",
0.00,"FWA","HMO",
0.00,"LRD","YHM",
0.00,"LRD","YXU",
0.00,"QRO","YIP",
0.00,"SLW","SDF",
0.00,"SLW","SUS",
0.00,"YIP","HMO",
0.00,"YIP","SLW",
0.00,"CCS","MIA",
0.00,"MIA","CCS",
0.00,"BFI","YYC",
0.00,"YYC","BFI",
0.00,"PVG","ORD",
0.00,"PVG","ORD",
0.00,"JFK","YWG",
0.00,"YWG","LAS",
0.00,"PUJ","BQN",
0.00,"BFI","YVR",
0.00,"LTN","FAR",
0.00,"SJD","SDM",
0.00,"JFK","NAT",
0.00,"ANC","CGO",
0.00,"CVG","BAH",
0.00,"HKG","ANC",
0.00,"HKG","CVG",
0.00,"HKG","LAX",
0.00,"LAX","LEJ",
0.00,"PVG","ANC",
0.00,"CVG","HKG",
0.00,"CVG","ICN",
0.00,"AMS","JFK",
0.00,"ANC","HKG",
0.00,"ATL","GUA",
0.00,"BRU","CVG",
0.00,"CVG","BAH",
0.00,"CVG","BRU",
0.00,"CVG","LEJ",
0.00,"GUA","CVG",
0.00,"HKG","CVG",
0.00,"HKG","JFK",
0.00,"HKG","LAX",
0.00,"HKG","LCK",
0.00,"HKG","ORD",
0.00,"JFK","AMS",
0.00,"JFK","NDJ",
0.00,"JFK","PIK",
0.00,"JFK","SNN",
0.00,"LEJ","CVG",
0.00,"PVG","JFK",
0.00,"PVG","ORD",
0.00,"STR","JFK",
0.00,"SJU","EIS",
0.00,"SJU","EIS",
0.00,"EIS","SIG",
0.00,"SJU","EIS",
0.00,"EIS","SIG",
0.00,"STX","EIS",
0.00,"SJU","EIS",
0.00,"AGT","JRV",
0.00,"AMS","MIA",
0.00,"AMS","ORD",
0.00,"BOG","JRV",
0.00,"BOG","MIA",
0.00,"EZE","JRV",
0.00,"GIG","MIA",
0.00,"HHN","IND",
0.00,"IAH","AMS",
0.00,"IAH","DKR",
0.00,"JFK","BLA",
0.00,"LIM","MIA",
0.00,"MAR","MIA",
0.00,"MDE","MIA",
0.00,"MIA","AGT",
0.00,"MIA","AMS",
0.00,"MIA","ASU",
0.00,"MIA","BAQ",
0.00,"MIA","BLA",
0.00,"MIA","BOG",
0.00,"MIA","CCS",
0.00,"MIA","GIG",
0.00,"MIA","LIM",
0.00,"MIA","MAR",
0.00,"MIA","MDE",
0.00,"MIA","MVD",
0.00,"MIA","SCL",
0.00,"MIA","VCP",
0.00,"MIA","VLN",
0.00,"MVD","JRV",
0.00,"PNR","JRV",
0.00,"SCL","MIA",
0.00,"VCP","JRV",
0.00,"EIS","SIG",
0.00,"STX","EIS",
0.00,"AMS","MIA",
0.00,"ANC","MAI",
0.00,"BOG","JRV",
0.00,"BOG","MIA",
0.00,"CCS","MIA",
0.00,"GIG","IAH",
0.00,"IAH","AMS",
0.00,"LIM","JRV",
0.00,"LIM","MIA",
0.00,"MAI","MIA",
0.00,"MDE","MIA",
0.00,"MIA","AGT",
0.00,"MIA","AMS",
0.00,"MIA","ASU",
0.00,"MIA","BOG",
0.00,"MIA","CCS",
0.00,"MIA","EZE",
0.00,"MIA","GIG",
0.00,"MIA","LIM",
0.00,"MIA","MDE",
0.00,"MIA","SCL",
0.00,"MIA","VCP",
0.00,"MIA","VLN",
0.00,"VCP","JRV",
0.00,"VLN","MIA",
1.00,"BGI","LEX",
1.00,"BWI","LGW",
1.00,"ROC","ZRH",
1.00,"FAB","VNY",
1.00,"TEB","NCE",
1.00,"YVR","JAC",
1.00,"DUB","TEB",
1.00,"DFW","YYZ",
1.00,"TEB","BRS",
1.00,"YYZ","DAL",
1.00,"YYZ","MIA",
1.00,"IAD","ZRH",
1.00,"ZRH","BGR",
1.00,"IAD","FPO",
1.00,"MEM","FPO",
1.00,"YUL","CHS",
1.00,"CMH","YVR",
1.00,"DSM","YEG",
1.00,"ATL","ZIH",
1.00,"CMH","PVR",
1.00,"LAX","PUJ",
1.00,"MCO","SXM",
1.00,"NAS","SYR",
1.00,"CMH","YYZ",
1.00,"SJD","LAX",
1.00,"BOS","SJO",
1.00,"SKB","MCO",
1.00,"PVR","RFD",
1.00,"YYZ","BOS",
1.00,"LGA","YYC",
1.00,"BOS","GCM",
1.00,"CUN","BDL",
1.00,"DEN","GDL",
1.00,"GUA","EGE",
1.00,"GUA","FLL",
1.00,"GUA","HDN",
1.00,"GUA","MCO",
1.00,"LAX","MBJ",
1.00,"LGA","GCM",
1.00,"MCO","PVR",
1.00,"MEX","DTW",
1.00,"MEX","MSP",
1.00,"MEX","SAT",
1.00,"MGA","LGA",
1.00,"NAS","PDX",
1.00,"OKC","CUN",
1.00,"OKC","MBJ",
1.00,"PDX","PTY",
1.00,"SAN","LIR",
1.00,"SAT","CZM",
1.00,"SFO","PTY",
1.00,"SJD","PDX",
1.00,"SJO","DTW",
1.00,"SJO","MCO",
1.00,"SNA","MEX",
1.00,"SLC","GDL",
1.00,"YYZ","LYH",
1.00,"BOS","GVA",
1.00,"DUB","RDU",
1.00,"GVA","BOS",
1.00,"NAN","OGG",
1.00,"SAN","LIN",
1.00,"SEA","GVA",
1.00,"EWR","ZRH",
1.00,"KEF","EWR",
1.00,"KEF","MIA",
1.00,"OME","PVS",
1.00,"ORD","YQX",
1.00,"STR","BOS",
1.00,"MNL","ATL",
1.00,"ROR","SPN",
1.00,"SIN","HNL",
1.00,"SLC","KIX",
1.00,"LBG","LAX",
1.00,"LBG","SCF",
1.00,"SFO","FAB",
1.00,"SXM","SFO",
1.00,"ANU","SJU",
1.00,"MIA","PLS",
1.00,"YAZ","PSP",
1.00,"YYZ","PTK",
1.00,"BOS","GSE",
1.00,"GSE","BOS",
1.00,"GVA","OPF",
1.00,"OPF","GVA",
1.00,"VNY","JER",
1.00,"SJD","LAX",
1.00,"MIA","HAV",
1.00,"MCO","YYZ",
1.00,"BZE","LAS",
1.00,"CUN","MSP",
1.00,"DCA","GDL",
1.00,"DTW","BZE",
1.00,"DTW","GUA",
1.00,"GRR","MEX",
1.00,"GUA","DEN",
1.00,"GUA","EGE",
1.00,"GUA","FLL",
1.00,"GUA","MCO",
1.00,"GUA","RDU",
1.00,"LAS","SAP",
1.00,"LAX","GUA",
1.00,"LGA","MEX",
1.00,"LIR","MSY",
1.00,"LIR","SAT",
1.00,"MCO","TGU",
1.00,"MEX","DCA",
1.00,"MEX","DTW",
1.00,"MEX","MSP",
1.00,"MID","CLE",
1.00,"MID","EGE",
1.00,"MSY","GUA",
1.00,"OMA","AUA",
1.00,"PBI","MEX",
1.00,"PDX","BON",
1.00,"PDX","GCM",
1.00,"PIT","GUA",
1.00,"PTY","DCA",
1.00,"PVR","DCA",
1.00,"SAN","MEX",
1.00,"SAT","TGU",
1.00,"SFO","SAL",
1.00,"SJD","ANC",
1.00,"SJD","RDU",
1.00,"SJO","MCO",
1.00,"SMF","GCM",
1.00,"TGU","EWR",
1.00,"LBG","EWR",
1.00,"LBG","HOU",
1.00,"LBG","SFO",
1.00,"TEB","LBG",
1.00,"BNA","YVR",
1.00,"GJT","YVR",
1.00,"SJC","YYJ",
1.00,"YVR","BJC",
1.00,"YYJ","SJC",
1.00,"JAN","YYZ",
1.00,"YYZ","CAE",
1.00,"LGA","YEG",
1.00,"ORD","YYT",
1.00,"PVR","MSP",
1.00,"DSM","YEG",
1.00,"MCI","YYC",
1.00,"PIT","YYC",
1.00,"YVR","DFW",
1.00,"DFW","AUA",
1.00,"DFW","SXM",
1.00,"IAH","UVF",
1.00,"ILM","MEX",
1.00,"LGA","SJD",
1.00,"MCO","PUJ",
1.00,"MIA","CZM",
1.00,"PUJ","MCO",
1.00,"PVD","SJO",
1.00,"SFO","PVR",
1.00,"LGB","GDL",
1.00,"YUM","GDL",
1.00,"BUF","YYZ",
1.00,"YHZ","PIT",
1.00,"YYZ","CHS",
1.00,"YYZ","DCA",
1.00,"HPN","ZRH",
1.00,"TEB","ZRH",
1.00,"ZRH","TEB",
1.00,"EDI","TEB",
1.00,"LEX","ARN",
1.00,"TEB","EDI",
1.00,"SNN","BOS",
1.00,"PIT","YVR",
1.00,"YYC","FLL",
1.00,"AUA","MSY",
1.00,"AUS","GCM",
1.00,"AUS","POS",
1.00,"BDA","PHX",
1.00,"BIL","CUN",
1.00,"BWI","GDL",
1.00,"BZE","DEN",
1.00,"CLE","MBJ",
1.00,"CUN","BDL",
1.00,"CZM","PHX",
1.00,"DCA","PVR",
1.00,"DCA","SJD",
1.00,"DEN","LIR",
1.00,"GCM","SAN",
1.00,"GDL","SAN",
1.00,"HDN","GUA",
1.00,"LAS","MEX",
1.00,"MBJ","DEN",
1.00,"MCO","GUA",
1.00,"MEX","BDL",
1.00,"MEX","EGE",
1.00,"MEX","LGA",
1.00,"MEX","LIH",
1.00,"MGA","LGA",
1.00,"MGA","SLC",
1.00,"MIA","BDA",
1.00,"MIA","MEX",
1.00,"MID","BWI",
1.00,"PDX","RTB",
1.00,"PIT","MEX",
1.00,"PVR","FLL",
1.00,"PVR","IAD",
1.00,"PVR","OMA",
1.00,"SAP","ORD",
1.00,"SJD","DSM",
1.00,"SJD","LGA",
1.00,"SJO","MSP",
1.00,"SMF","CUN",
1.00,"TGU","AUS",
1.00,"TPA","LIR",
1.00,"TPA","SJO",
1.00,"ANU","SJU",
1.00,"ATL","MVD",
1.00,"CUN","SRQ",
1.00,"BFI","YYJ",
1.00,"YYJ","BFI",
1.00,"YCD","FRD",
1.00,"YVR","BFI",
1.00,"FAB","TEB",
1.00,"LTN","HOU",
1.00,"BED","MAD",
1.00,"MAD","BED",
1.00,"MAD","TEB",
1.00,"ORD","MAD",
1.00,"SCQ","ORD",
1.00,"YYZ","DAL",
1.00,"MCO","YYZ",
1.00,"YYZ","APA",
1.00,"YYZ","APF",
1.00,"YYZ","DAL",
1.00,"YYZ","MCO",
1.00,"YYZ","RNO",
1.00,"YYZ","UST",
1.00,"RNO","YVR",
1.00,"BWI","YYC",
1.00,"DCA","YVR",
1.00,"DSM","YEG",
1.00,"IAH","CDG",
1.00,"ANU","ORF",
1.00,"ATL","MBJ",
1.00,"DFW","SXM",
1.00,"PUJ","MCO",
1.00,"SNA","CUN",
1.00,"TPA","SJD",
1.00,"LBG","TEB",
1.00,"MKE","LBG",
1.00,"PLS","OPF",
1.00,"SDQ","OPF",
1.00,"SJU","SKB",
1.00,"ORD","YYT",
1.00,"YEG","DFW",
1.00,"YYC","EWR",
1.00,"YYZ","IND",
1.00,"LGB","GDL",
1.00,"BOS","YHZ",
1.00,"JAX","YHZ",
1.00,"BDL","YUL",
1.00,"YYZ","LYH",
1.00,"OPF","ORK",
1.00,"ATL","STI",
1.00,"ROR","SPN",
1.00,"SPN","ROR",
1.00,"LKE","YGG",
1.00,"YWG","BOS",
1.00,"BDA","MCO",
1.00,"BON","BWI",
1.00,"BOS","GDL",
1.00,"BWI","MID",
1.00,"BWI","SAL",
1.00,"BZE","ORD",
1.00,"CLE","PVR",
1.00,"DCA","LIR",
1.00,"GUA","SNA",
1.00,"LAX","SAL",
1.00,"MEX","ALB",
1.00,"MEX","FLL",
1.00,"MIA","BDA",
1.00,"MID","BWI",
1.00,"MSY","MGA",
1.00,"NAS","DFW",
1.00,"ORD","BDA",
1.00,"ORD","SAL",
1.00,"PHL","MEX",
1.00,"PVR","RSW",
1.00,"RSW","GUA",
1.00,"SAP","DEN",
1.00,"SJD","BWI",
1.00,"SJD","FLL",
1.00,"SJO","MCO",
1.00,"SJO","PDX",
1.00,"SJO","SFO",
1.00,"TPA","LIR",
1.00,"TPA","SJD",
1.00,"AUA","BWI",
1.00,"DTW","BDA",
1.00,"OMA","SJD",
1.00,"RNO","SJO",
1.00,"TPA","CUN",
1.00,"CMH","YYZ",
1.00,"YYZ","PVD",
1.00,"MSN","YYZ",
1.00,"YYZ","APF",
1.00,"YYZ","LSE",
1.00,"FAY","YOW",
1.00,"GSP","YYZ",
1.00,"YYC","IAD",
1.00,"SFO","YYJ",
1.00,"SJC","YYJ",
1.00,"YVR","OMA",
1.00,"YYJ","SFO",
1.00,"YYJ","SJC",
1.00,"LAX","OLB",
1.00,"SGD","LAX",
1.00,"TEB","GSE",
1.00,"PHX","NCE",
1.00,"PHX","TRS",
1.00,"BMI","ZRH",
1.00,"SFO","ANE",
1.00,"TEB","LBG",
1.00,"TEB","YYZ",
1.00,"LIN","MDW",
1.00,"TEB","ZRH",
1.00,"TEB","LIN",
1.00,"PIT","FAB",
1.00,"ASU","MIA",
1.00,"AUA","MIA",
1.00,"CUR","IAD",
1.00,"CUR","MIA",
1.00,"EJA","MCO",
1.00,"EZE","IAD",
1.00,"FLA","MIA",
1.00,"FLL","BCN",
1.00,"FLL","LIM",
1.00,"FLL","MAD",
1.00,"FLL","PPN",
1.00,"FLL","PSO",
1.00,"FLL","VUP",
1.00,"IAD","CUC",
1.00,"IAD","LIM",
1.00,"IBE","IAD",
1.00,"JFK","GUA",
1.00,"JFK","MEX",
1.00,"LIM","MCO",
1.00,"LIM","SJU",
1.00,"MCO","ADZ",
1.00,"MCO","LIM",
1.00,"MEX","JFK",
1.00,"MIA","FLA",
1.00,"MIA","TCO",
1.00,"MIA","TGU",
1.00,"MZL","IAD",
1.00,"NVA","FLL",
1.00,"SJU","CTG",
1.00,"SJU","LIM",
1.00,"SJU","PTY",
1.00,"SJU","VUP",
1.00,"VUP","MCO",
1.00,"ADZ","MCO",
1.00,"EJA","MIA",
1.00,"JFK","PUJ",
1.00,"LET","MIA",
1.00,"LPB","SJU",
1.00,"MAD","MCO",
1.00,"MIA","BCN",
1.00,"NVA","FLL",
1.00,"NVA","SJU",
1.00,"PPN","SJU",
1.00,"PSO","SJU",
1.00,"SJU","PSO",
1.00,"ADZ","MCO",
1.00,"AXM","SJU",
1.00,"FLA","JFK",
1.00,"FLL","IBE",
1.00,"FLL","SMR",
1.00,"IAD","CUC",
1.00,"IAD","MZL",
1.00,"IAD","PTY",
1.00,"JFK","LET",
1.00,"LIM","IAD",
1.00,"LPB","SJU",
1.00,"MCO","BCN",
1.00,"MIA","PPN",
1.00,"MTR","SJU",
1.00,"NVA","SJU",
1.00,"PSO","SJU",
1.00,"SJU","AXM",
1.00,"SJU","MZL",
1.00,"SMR","SJU",
1.00,"TCO","JFK",
1.00,"AXM","SJU",
1.00,"FLL","BCN",
1.00,"FLL","IBE",
1.00,"FLL","MZL",
1.00,"GIG","MCO",
1.00,"IAD","MTR",
1.00,"IAD","NVA",
1.00,"IAD","PTY",
1.00,"LIM","IAD",
1.00,"MAD","FLL",
1.00,"MAD","MCO",
1.00,"MAD","SJU",
1.00,"MCO","BCN",
1.00,"MCO","MAD",
1.00,"MCO","SCL",
1.00,"MIA","BCN",
1.00,"MZL","SJU",
1.00,"SJU","CUC",
1.00,"SJU","EJA",
1.00,"SJU","NVA",
1.00,"SJU","SCL",
1.00,"SJU","SMR",
1.00,"SMR","SJU",
1.00,"CUN","JFK",
1.00,"CUR","MIA",
1.00,"EYP","MCO",
1.00,"FLL","IBE",
1.00,"FLL","MZL",
1.00,"FLL","NVA",
1.00,"FLL","SCL",
1.00,"IAD","EJA",
1.00,"IAD","MTR",
1.00,"JFK","EYP",
1.00,"JFK","LET",
1.00,"JFK","PUJ",
1.00,"JFK","SDQ",
1.00,"MAD","FLL",
1.00,"MCO","EYP",
1.00,"MCO","IBE",
1.00,"MCO","MZL",
1.00,"MIA","CUR",
1.00,"SJU","GYE",
1.00,"SJU","SMR",
1.00,"SJU","UIO",
1.00,"SJU","VUP",
1.00,"YYZ","TEB",
1.00,"YUL","RSW",
1.00,"IAD","SCL",
1.00,"PT1","TEB",
1.00,"MAD","BFI",
1.00,"HPN","YYZ",
1.00,"YYZ","HPN",
1.00,"GVA","OPF",
1.00,"BWI","YYC",
1.00,"FLL","YVR",
1.00,"BDA","LGA",
1.00,"BOS","MBJ",
1.00,"PIT","BDA",
1.00,"ZRH","EWR",
1.00,"STN","MDW",
1.00,"ANU","STX",
1.00,"AXA","SJU",
1.00,"BDA","TEB",
1.00,"EIS","SJU",
1.00,"ELH","SJU",
1.00,"FRG","YUL",
1.00,"HPN","YTZ",
1.00,"ORH","YUL",
1.00,"PLS","HPN",
1.00,"SJU","EIS",
1.00,"SJU","ELH",
1.00,"SJU","SKB",
1.00,"STX","ANU",
1.00,"SWF","YQM",
1.00,"TEB","BDA",
1.00,"TEB","YOW",
1.00,"YOW","TEB",
1.00,"YQM","TEB",
1.00,"YTZ","HPN",
1.00,"YUL","EWR",
1.00,"YUL","ORH",
1.00,"ABE","YUL",
1.00,"BDL","YUL",
1.00,"YUL","ALB",
1.00,"ORD","YYT",
1.00,"YEG","MSY",
1.00,"YVR","IAD",
1.00,"YVR","LAX",
1.00,"YYC","DCA",
1.00,"BDA","IAH",
1.00,"BDA","PHX",
1.00,"BJX","DEN",
1.00,"BOS","BDA",
1.00,"BZE","SFO",
1.00,"CUN","SAT",
1.00,"DCA","SJO",
1.00,"DCA","TGU",
1.00,"DEN","MID",
1.00,"DFW","PTY",
1.00,"DFW","SAL",
1.00,"DFW","SJO",
1.00,"DSM","MEX",
1.00,"DTW","GDL",
1.00,"FLL","BDA",
1.00,"GDL","TPA",
1.00,"GUA","SFO",
1.00,"IAD","LIR",
1.00,"LAS","MGA",
1.00,"LAX","GCM",
1.00,"LAX","GUA",
1.00,"LGA","PTY",
1.00,"MCO","SAL",
1.00,"MEX","BDL",
1.00,"MEX","CLE",
1.00,"MEX","CLT",
1.00,"MEX","LGA",
1.00,"MEX","PDX",
1.00,"MEX","SDF",
1.00,"MSY","GDL",
1.00,"MSY","MEX",
1.00,"MSY","SAL",
1.00,"MSY","SJD",
1.00,"PBI","MEX",
1.00,"PHL","CUN",
1.00,"PLS","IAH",
1.00,"RTB","ORD",
1.00,"SAL","MCO",
1.00,"SAP","DCA",
1.00,"SEA","PVR",
1.00,"SFO","GUA",
1.00,"SFO","SAL",
1.00,"SFO","TGU",
1.00,"SJD","FLL",
1.00,"SJO","SFO",
1.00,"TGU","DFW",
1.00,"TGU","LAS",
1.00,"TPA","GUA",
1.00,"MUC","BNA",
1.00,"MUC","PWM",
1.00,"FAB","TEB",
1.00,"TEB","FAB",
1.00,"DTW","YHZ",
1.00,"BDA","CHS",
1.00,"ACC","SJU",
1.00,"ATL","VCE",
1.00,"SFO","MXP",
1.00,"BC5","KEH",
1.00,"ESD","YCD",
1.00,"KEH","YGE",
1.00,"KEH","YIG",
1.00,"KEH","YMU",
1.00,"KEH","YWH",
1.00,"YCD","FRD",
1.00,"IND","YUL",
1.00,"YYC","SAT",
1.00,"JAX","YHZ",
1.00,"PIT","YYZ",
1.00,"YYZ","MSP",
1.00,"YUL","OMA",
1.00,"ZRH","HPN",
1.00,"YUL","PBI",
1.00,"YXE","CLE",
1.00,"DFW","YYZ",
1.00,"TPA","YYZ",
1.00,"AUA","MSY",
1.00,"AUS","TGU",
1.00,"BDL","MBJ",
1.00,"BJX","CLE",
1.00,"BJX","DEN",
1.00,"BWI","MEX",
1.00,"CLE","SJO",
1.00,"CUN","DCA",
1.00,"CUN","GRR",
1.00,"CUN","SNA",
1.00,"DCA","MBJ",
1.00,"DFW","PTY",
1.00,"DTW","SJO",
1.00,"GDL","DEN",
1.00,"GDL","EWR",
1.00,"GUA","MCO",
1.00,"JFK","MEX",
1.00,"LIR","DCA",
1.00,"LIR","SAN",
1.00,"LIR","TPA",
1.00,"MCO","GUA",
1.00,"MEX","ABQ",
1.00,"MEX","DCA",
1.00,"MEX","MDT",
1.00,"MEX","MSY",
1.00,"MGA","SEA",
1.00,"MID","EWR",
1.00,"MSY","PTY",
1.00,"OKC","MGA",
1.00,"ORD","PTY",
1.00,"PHL","SJD",
1.00,"PHX","TGU",
1.00,"PTY","MCO",
1.00,"PVD","CUN",
1.00,"PVR","DCA",
1.00,"SAL","SMF",
1.00,"SAN","MEX",
1.00,"SAN","POS",
1.00,"SAP","ORD",
1.00,"SAP","SFO",
1.00,"SJD","AUS",
1.00,"SJO","BOS",
1.00,"SXM","PHX",
1.00,"TGU","PHX",
1.00,"TPA","GUA",
1.00,"TPA","LIR",
1.00,"TPA","SAL",
1.00,"AUA","MIA",
1.00,"CUR","MIA",
1.00,"EYP","SJU",
1.00,"FLA","MIA",
1.00,"FLL","BCN",
1.00,"FLL","PPN",
1.00,"IAD","CUC",
1.00,"IAD","MTR",
1.00,"IAD","VUP",
1.00,"JFK","EJA",
1.00,"JFK","TCO",
1.00,"MCO","EYP",
1.00,"MCO","EZE",
1.00,"MCO","MZL",
1.00,"MEX","SJU",
1.00,"MIA","FLA",
1.00,"MZL","MCO",
1.00,"SJU","PPN",
1.00,"SJU","PSO",
1.00,"SJU","SMR",
1.00,"TCO","JFK",
1.00,"VUP","SJU",
1.00,"TEB","VKO",
1.00,"VKO","TEB",
1.00,"MBJ","DFW",
1.00,"LAX","YYZ",
1.00,"DRO","PVR",
1.00,"GSO","YYZ",
1.00,"BWI","MZT",
1.00,"PVD","AUA",
