S,I,R 
1510,79,0 
1458,131,0 
1372,217,0 
1269,320,0 
1153,436,0 
1038,472,79 
934,524,131 
822,550,217 
734,535,320 
654,499,436 
595,443,551 
546,388,655 
506,316,767 
472,262,855 
446,208,935 
425,170,994 
400,146,1043 
385,121,1083 
378,94,1117 
371,75,1143 
365,60,1164 
