S,I,R,V 
1509,80,0,0 
1443,146,0,0 
1278,218,0,93 
1159,304,0,126 
1043,396,0,150 
917,416,80,176 
811,442,146,190 
695,472,218,204 
618,453,304,214 
551,421,396,221 
512,353,496,228 
465,301,588,235 
419,234,690,246 
394,186,757,252 
378,140,817,254 
363,122,849,255 
348,96,889,256 
334,70,924,261 
318,60,943,268 
311,51,957,270 
308,40,971,270 
