S,I,R 
1802,97,0 
1687,212,0 
1332,567,0 
1058,841,0 
881,926,92 
805,621,473 
766,417,716 
746,224,929 
735,120,1044 
733,55,1111 
733,24,1142 
733,8,1158 
733,2,1164 
733,1,1165 
733,1,1165 
733,1,1165 
733,1,1165 
733,1,1165 
733,1,1165 
733,1,1165 
733,1,1165 
