S,I,R 
1801,98,0 
1677,222,0 
1343,556,0 
1046,853,0 
876,1023,0 
743,1058,98 
656,1021,222 
614,729,556 
587,459,853 
583,293,1023 
576,167,1156 
572,84,1243 
571,43,1285 
570,17,1312 
570,13,1316 
570,6,1323 
570,2,1327 
570,1,1328 
570,0,1329 
570,0,1329 
570,0,1329 
