S,I,R 
282,18,0 
270,30,0 
260,40,0 
248,52,0 
230,70,0 
203,79,18 
181,89,30 
150,110,40 
121,127,52 
102,128,70 
80,123,97 
67,114,119 
55,95,150 
48,73,179 
43,59,198 
41,39,220 
38,29,233 
38,17,245 
38,10,252 
38,5,257 
38,3,259 
