S,I,R 
1819,80,0 
1765,134,0 
1693,206,0 
1591,308,0 
1488,411,0 
1364,455,80 
1232,533,134 
1123,570,206 
1008,583,308 
899,589,411 
812,552,535 
728,504,667 
653,470,776 
607,401,891 
561,338,1000 
528,284,1087 
501,227,1171 
484,169,1246 
475,132,1292 
465,96,1338 
459,69,1371 
